community_id,state,county,product,doses_needed
CHUUK__TONOAS,Chuuk,Tonoas,IPV_Single,61
CHUUK__TONOAS,Chuuk,Tonoas,MMR_Single,63
CHUUK__TONOAS,Chuuk,Tonoas,Prevnar,73
CHUUK__TONOAS,Chuuk,Tonoas,RotaTeq,18
CHUUK__UDOT,Chuuk,Udot,PedVaxHib,9
CHUUK__UDOT,Chuuk,Udot,Vaxelis,40
CHUUK__UDOT,Chuuk,Udot,Pediarix,8
CHUUK__UDOT,Chuuk,Udot,DTaP_Single,41
CHUUK__UDOT,Chuuk,Udot,IPV_Single,30
CHUUK__UDOT,Chuuk,Udot,MMR_Single,40
CHUUK__UDOT,Chuuk,Udot,Prevnar,47
CHUUK__UDOT,Chuuk,Udot,RotaTeq,5
CHUUK__UMAN,Chuuk,Uman,PedVaxHib,18
CHUUK__UMAN,Chuuk,Uman,Vaxelis,38
CHUUK__UMAN,Chuuk,Uman,Pediarix,11
CHUUK__UMAN,Chuuk,Uman,DTaP_Single,43
CHUUK__UMAN,Chuuk,Uman,IPV_Single,30
CHUUK__UMAN,Chuuk,Uman,MMR_Single,58
CHUUK__UMAN,Chuuk,Uman,Prevnar,57
CHUUK__UMAN,Chuuk,Uman,RotaTeq,7
CHUUK__WENO,Chuuk,Weno,PedVaxHib,65
CHUUK__WENO,Chuuk,Weno,Vaxelis,141
CHUUK__WENO,Chuuk,Weno,Pediarix,56
CHUUK__WENO,Chuuk,Weno,DTaP_Single,214
CHUUK__WENO,Chuuk,Weno,IPV_Single,141
CHUUK__WENO,Chuuk,Weno,MMR_Single,241
CHUUK__WENO,Chuuk,Weno,Prevnar,206
CHUUK__WENO,Chuuk,Weno,RotaTeq,17
CHUUK__ZZ-UNKNOWN-CHUUK,Chuuk,Zz-Unknown-Chuuk,PedVaxHib,0
CHUUK__ZZ-UNKNOWN-CHUUK,Chuuk,Zz-Unknown-Chuuk,Vaxelis,1
CHUUK__ZZ-UNKNOWN-CHUUK,Chuuk,Zz-Unknown-Chuuk,Pediarix,0
CHUUK__ZZ-UNKNOWN-CHUUK,Chuuk,Zz-Unknown-Chuuk,DTaP_Single,0
CHUUK__ZZ-UNKNOWN-CHUUK,Chuuk,Zz-Unknown-Chuuk,IPV_Single,0
CHUUK__ZZ-UNKNOWN-CHUUK,Chuuk,Zz-Unknown-Chuuk,MMR_Single,44
CHUUK__ZZ-UNKNOWN-CHUUK,Chuuk,Zz-Unknown-Chuuk,Prevnar,1
CHUUK__ZZ-UNKNOWN-CHUUK,Chuuk,Zz-Unknown-Chuuk,RotaTeq,0
KOSRAE__LELU,Kosrae,Lelu,PedVaxHib,18
KOSRAE__LELU,Kosrae,Lelu,Vaxelis,11
KOSRAE__LELU,Kosrae,Lelu,Pediarix,3
KOSRAE__LELU,Kosrae,Lelu,DTaP_Single,21
KOSRAE__LELU,Kosrae,Lelu,IPV_Single,16
KOSRAE__LELU,Kosrae,Lelu,MMR_Single,18
KOSRAE__LELU,Kosrae,Lelu,Prevnar,18
KOSRAE__LELU,Kosrae,Lelu,RotaTeq,6
KOSRAE__MALEM,Kosrae,Malem,PedVaxHib,12
KOSRAE__MALEM,Kosrae,Malem,Vaxelis,9
KOSRAE__MALEM,Kosrae,Malem,Pediarix,2
KOSRAE__MALEM,Kosrae,Malem,DTaP_Single,9
KOSRAE__MALEM,Kosrae,Malem,IPV_Single,8
KOSRAE__MALEM,Kosrae,Malem,MMR_Single,15
KOSRAE__MALEM,Kosrae,Malem,Prevnar,20
KOSRAE__MALEM,Kosrae,Malem,RotaTeq,5
KOSRAE__TAFUNSAK,Kosrae,Tafunsak,PedVaxHib,28
KOSRAE__TAFUNSAK,Kosrae,Tafunsak,Vaxelis,6
KOSRAE__TAFUNSAK,Kosrae,Tafunsak,Pediarix,1
KOSRAE__TAFUNSAK,Kosrae,Tafunsak,DTaP_Single,25
KOSRAE__TAFUNSAK,Kosrae,Tafunsak,IPV_Single,16
KOSRAE__TAFUNSAK,Kosrae,Tafunsak,MMR_Single,22
KOSRAE__TAFUNSAK,Kosrae,Tafunsak,Prevnar,23
KOSRAE__TAFUNSAK,Kosrae,Tafunsak,RotaTeq,1
KOSRAE__UTWE,Kosrae,Utwe,PedVaxHib,5
KOSRAE__UTWE,Kosrae,Utwe,Vaxelis,2
KOSRAE__UTWE,Kosrae,Utwe,Pediarix,0
KOSRAE__UTWE,Kosrae,Utwe,DTaP_Single,12
KOSRAE__UTWE,Kosrae,Utwe,IPV_Single,12
KOSRAE__UTWE,Kosrae,Utwe,MMR_Single,6
KOSRAE__UTWE,Kosrae,Utwe,Prevnar,6
KOSRAE__UTWE,Kosrae,Utwe,RotaTeq,0
KOSRAE__WALUNG,Kosrae,Walung,PedVaxHib,0
KOSRAE__WALUNG,Kosrae,Walung,Vaxelis,0
KOSRAE__WALUNG,Kosrae,Walung,Pediarix,0
KOSRAE__WALUNG,Kosrae,Walung,DTaP_Single,0
KOSRAE__WALUNG,Kosrae,Walung,IPV_Single,0
KOSRAE__WALUNG,Kosrae,Walung,MMR_Single,0
KOSRAE__WALUNG,Kosrae,Walung,Prevnar,0
KOSRAE__WALUNG,Kosrae,Walung,RotaTeq,0
KOSRAE__ZZ-UNKNOWN-KOSRAE,Kosrae,Zz-Unknown-Kosrae,PedVaxHib,0
KOSRAE__ZZ-UNKNOWN-KOSRAE,Kosrae,Zz-Unknown-Kosrae,Vaxelis,0
KOSRAE__ZZ-UNKNOWN-KOSRAE,Kosrae,Zz-Unknown-Kosrae,Pediarix,0
KOSRAE__ZZ-UNKNOWN-KOSRAE,Kosrae,Zz-Unknown-Kosrae,DTaP_Single,0
