community_id,state,state_join,county,county_join,child_population,source_patient_communities,source_patient_community_n,children_not_utd,proportion_not_utd,utd_coverage,utd_no_mmr_coverage,mmr_eligible_n,mmr_not_utd_n,mmr_coverage,median_months_since_vax,mean_individual_risk,median_individual_risk,p75_individual_risk,high_risk_n,high_risk_percent,latitude_patient,longitude_patient,census_region,census_total,census_under5,latitude_census,longitude_census,area_m2,area_km2,population_density_km2,under5_density_km2,census_source_communities,census_source_n,region,latitude,longitude,remoteness,access_component,median_risk_component,p75_risk_component,high_risk_percent_component,community_patient_risk_component,log_population_density,density_percentile_component,low_density_component,high_density_component,population_density_missing,low_density_component_for_score,high_density_component_for_score,transmission_component,burden_component,priority_score,priority_rank,priority_group,data_quality_flag,routing_ready
POHNPEI__KITTI,Pohnpei,POHNPEI,Kitti,KITTI,994,Kitti,1,451,45.372233400402415,54.627766599597585,54.929577464788736,870,100,88.50574712643679,7.885010266940451,25.54260309748062,22.38421172712755,33.090349075975375,50,5.030181086519115,6.827342881945857,158.22003807476236,Main,6470,794,6.83611,158.181,347455069,347.455069,18.621112705654614,2.2851875561498862,Kitti,1,Main,6.827342881945857,158.22003807476236,0,0,22.38421172712755,33.090349075975375,5.030181086519115,21.054633068775427,2.9766061653555385,16.666666666666664,83.33333333333334,16.666666666666664,FALSE,83.33333333333334,16.666666666666664,3.509105511462571,84.14229949377314,23.3,20,High,Ready,TRUE
YAP__FAIS,Yap,YAP,Fais,FAIS,81,Fais,1,18,22.22222222222222,77.77777777777779,77.77777777777779,74,4,94.5945945945946,4.435318275154004,26.98765995442548,28.9664613278576,31.3620807665982,0,0,9.762519,140.520149,Outer,294,38,9.765,140.52200000000002,2443598,2.443598,120.31438886428946,15.550839377017004,Fais,1,Outer,9.762519,140.520149,1,100,28.9664613278576,31.3620807665982,0,23.652292950034198,4.7983854310443,35.18518518518518,64.81481481481481,35.18518518518518,FALSE,64.81481481481481,35.18518518518518,8.322103075012032,0,23.3,20,High,Ready,TRUE
YAP__FANIF,Yap,YAP,Fanif,FANIF,42,Fanif,1,1,2.380952380952381,97.61904761904762,97.61904761904762,35,0,100,3.8439425051334704,29.04490292580642,30.00456308464525,33.791923340177945,0,0,9.558650476190476,138.1242852857143,Main,509,55,9.56667,138.13299999999998,54044650.555348404,54.044650555348404,9.418138423870852,1.0176770399074595,Fanif,1,Main,9.558650476190476,138.1242852857143,0,0,30.00456308464525,33.791923340177945,0,24.761122518822738,2.3435483662255954,7.4074074074074066,92.5925925925926,7.4074074074074066,FALSE,92.5925925925926,7.4074074074074066,1.834157223616499,0,23.3,20,High,Ready,TRUE
CHUUK__PULAP ATOLL,Chuuk,CHUUK,Pulap Atoll,PULAP ATOLL,14,Pulap Atoll,1,13,92.85714285714286,7.142857142857142,7.142857142857142,10,4,60,4.172484599589322,26.10850363417099,22.37907825690165,50.847307780059325,0,0,7.580619857142857,149.42374242857142,Outer,1661,207,,,1073024,1.073024,1547.961648574496,192.91274006918763,Pollap; Tamatam,2,Outer,7.580619857142857,149.42374242857142,1,100,22.37907825690165,50.847307780059325,0,23.596908510152858,7.345340081281762,94.44444444444444,5.555555555555557,94.44444444444444,FALSE,5.555555555555557,94.44444444444444,22.285969148477697,0,23.2,24,High,Ready,TRUE
YAP__RUUL,Yap,YAP,Ruul,RUUL,159,Ruul,1,20,12.578616352201259,87.42138364779875,87.42138364779875,146,3,97.94520547945206,9.37987679671458,28.596600358446082,28.4188911704312,34.13415468856945,1,0.628930817610063,9.467678522012578,138.30380793144656,Main,2095,219,9.5,138.1,54044650.555348404,54.044650555348404,38.764243611020504,4.052204940722429,Ruul,1,Main,9.467678522012578,138.30380793144656,0,0,28.4188911704312,34.13415468856945,0.628930817610063,24.00395180349462,3.682968106752531,29.629629629629626,70.37037037037038,29.629629629629626,FALSE,70.37037037037038,29.629629629629626,7.112282015850257,14.833566670536177,23.2,24,Moderate,Ready,TRUE
YAP__MAAP,Yap,YAP,Maap,MAAP,76,Maap,1,8,10.526315789473683,89.47368421052632,89.47368421052632,68,1,98.52941176470588,5.305954825462012,28.351900884998255,28.06525211042665,34.25963951631303,1,1.3157894736842104,9.571497640953014,138.14939673178873,Main,621,56,9.59028,138.17,10476132,10.476132,59.2776036040783,5.345484382976465,Maap,1,Main,9.571497640953014,138.14939673178873,0,0,28.06525211042665,34.25963951631303,1.3157894736842104,23.954237064255437,4.098960618556625,33.33333333333333,66.66666666666667,33.33333333333333,FALSE,66.66666666666667,33.33333333333333,7.984745688085145,14.833566670536177,23.1,26,Moderate,Ready,TRUE
CHUUK__PAREM,Chuuk,CHUUK,Parem,PAREM,44,Parem,1,22,50,50,50,40,4,90,17.215605749486652,25.904735237384116,23.66643851243445,32.18913985854442,4,9.090909090909092,7.363609997772727,151.79076060227274,Lagoon,342,44,7.35972,151.786,1238688,1.238688,276.09858172518017,35.52145495879511,Parem,1,Lagoon,7.363609997772727,151.79076060227274,0.5,50,23.66643851243445,32.18913985854442,9.090909090909092,22.455872897351377,5.624373333577885,42.592592592592595,57.407407407407405,42.592592592592595,FALSE,57.407407407407405,42.592592592592595,9.56453845627929,34.442475199702734,23,27,Moderate,Ready,TRUE
YAP__TAMIL,Yap,YAP,Tamil,TAMIL,150,Tamil,1,13,8.666666666666668,91.33333333333333,91.33333333333333,138,3,97.82608695652173,12.02464065708419,29.614290060080613,28.8980150581793,35.742642026009605,0,0,9.408046713333334,138.54139273333334,,,,,,,,,,,,,9.408046713333334,138.54139273333334,0,0,28.8980150581793,35.742642026009605,0,24.487337440109503,,,,,TRUE,50,50,12.243668720054751,0,23,27,Moderate,Missing Census match,TRUE
YAP__WOLEAI,Yap,YAP,Woleai,WOLEAI,144,Woleai,1,19,13.194444444444445,86.80555555555556,86.80555555555556,120,2,98.33333333333333,2.5626283367556466,26.82017168605978,28.3276294775268,32.12069358886605,0,0,7.373776680555556,143.90602510416667,Outer,1039,111,7.37556,143.914,1413473,1.413473,735.0688693735218,78.52997545761397,Woleai,1,Outer,7.373776680555556,143.90602510416667,1,100,28.3276294775268,32.12069358886605,0,23.42071640428929,6.6013236868696135,74.07407407407408,25.925925925925924,74.07407407407408,FALSE,25.925925925925924,74.07407407407408,17.348678817992067,0,23,27,Moderate,Ready,TRUE
CHUUK__POLLE,Chuuk,CHUUK,Polle,POLLE,345,Polle,1,162,46.95652173913044,53.04347826086957,53.04347826086957,313,35,88.81789137380191,8.903490759753595,24.887794409890653,23.5135751768195,31.6358658453114,14,4.057971014492753,7.3385077351640335,151.59831934201043,Lagoon,1498,218,7.33639,151.577,9090637,9.090637,164.78493201301515,23.980717742882046,Polle,1,Lagoon,7.3385077351640335,151.59831934201043,0.5,50,23.5135751768195,31.6358658453114,4.057971014492753,21.246912478052533,5.1106913580708,37.03703703703704,62.96296296296296,37.03703703703704,FALSE,62.96296296296296,37.03703703703704,7.869226843723161,57.95312212444975,22.9,30,Moderate,Ready,TRUE
